Year,PDO_adult,NPGO,PDO_smolt,SSL
1951,-2.240516639,-1.098467061,-1.184062888,0.216167871
1952,-1.249589985,0.853614485,-0.410997816,0.164097941
1953,1.01132485,0.903034271,-0.550232654,-0.156104508
1954,1.027765386,0.038188016,0.027488018,-0.473828803
1955,1.085790214,-0.159491127,-2.291707198,-0.632436118
1956,0.59134867,-1.370275884,-1.277578824,-0.618548631
1957,-0.787679082,-0.456009843,1.176694966,-0.630224397
1958,0.023031265,-0.357170271,0.819256277,-0.648774217
1959,0.152226515,0.73006502,0.987584962,-0.667324038
1960,-0.306708338,1.273682666,0.70288089,-0.685873858
1961,-0.101222196,-0.060651556,-1.00118728,-0.704423679
1962,-0.176220416,-0.456009843,0.135550877,-0.722973499
1963,-0.060290396,0.532385876,0.220754286,-0.741523319
1964,-0.194868405,-0.777238452,-0.365278914,-0.76007314
1965,0.937348562,-0.826658238,-0.022387148,-0.778596129
1966,-0.986222523,-0.752528559,-0.194872097,-0.794690933
1967,-1.52534002,-0.579559308,0.039956809,-0.798277284
1968,-0.477829047,-1.246726419,-0.442169795,-0.808459589
1969,-0.873516566,0.013478123,1.299304749,-0.810650894
1970,-0.38442874,0.038188016,-1.017812335,-0.774875215
1971,-0.777055798,-0.43129995,-1.53318905,-0.740160609
1972,1.287615102,-0.381880164,-0.151231327,-0.706355018
1973,0.73516175,-0.307750485,-0.932608927,-0.67676424
1974,-0.111732882,0.705355127,-0.103434293,-0.674591099
1975,0.731957313,1.22426288,-1.111328271,-0.682175514
1976,1.239464026,1.496071703,1.490492885,-0.689721684
1977,0.641279899,0.927744164,0.675865175,-0.692058747
1978,1.045739612,-0.628979094,-0.332028803,-0.688492576
1979,1.760858007,-1.345565991,0.659240119,-0.658299102
1980,0.995251663,-0.628979094,1.230726396,-0.638119579
1981,1.323357031,-0.332460378,0.405708026,-0.613664869
1982,1.924780679,0.285286946,0.817178145,-0.586451182
1983,0.939102015,0.013478123,1.744024978,-0.552111661
1984,-0.504727804,0.137027588,0.686255834,-0.537257366
1985,-0.767245525,-1.123176954,1.068632106,-0.520949445
1986,-1.271221694,0.285286946,1.858322234,-0.499584601
1987,0.279698255,0.853614485,0.900303421,-0.455678697
1988,0.727299141,0.878324378,-0.593873425,-0.437181452
1989,0.805395605,0.087607802,-0.525295071,-0.48915912
1990,-0.340154025,-0.851368131,-1.418891794,-0.534370662
1991,0.858644749,-0.283040592,0.414020554,-0.482914327
1992,0.867585811,-2.136282567,0.601052426,-0.400872197
1993,1.350313612,-1.963313316,0.939787928,-0.314506817
1994,-0.735344768,-1.320856098,-0.676998701,-0.220919408
1995,-1.387931617,-0.67839888,0.962647379,-0.14591973
1996,-0.269131953,-1.197306633,0.569880447,-0.062940749
1997,-0.54897412,0.853614485,1.579852557,0.027720142
1998,1.277535584,1.496071703,-0.791295956,0.142100777
1999,0.106035586,1.619621168,-1.447985641,0.206883399
2000,-0.044363575,2.558597102,0.060738128,0.361611008
2001,-0.186896976,1.940849777,-0.89312442,0.526441552
2002,-0.646881284,1.71846074,1.581930689,0.643640805
2003,-1.281450398,0.359416625,-0.097199897,0.61044747
2004,-1.495419904,-1.493825349,-0.009918357,0.597452591
2005,-0.427231792,-0.999627489,-0.111746821,0.793458734
2006,-1.569501687,-0.307750485,-0.510748148,1.047203546
2007,-1.992928833,0.927744164,-1.096781348,1.209166729
2008,-1.156372393,0.458256197,-1.512407731,1.387949089
2009,-0.128649188,1.619621168,-0.007840225,1.630078644
2010,1.765105872,0.532385876,-1.429282454,1.818732515
2011,1.307369058,0.557095769,-1.857377628,2.007799318
2012,0.675421469,0.952454057,-0.976249697,2.20821013
2013,0.074628105,-0.67839888,-0.321638144,2.420301024
2014,-0.33057418,-0.92549781,1.837540914,2.613712189
2015,-0.905094172,0.137027588,1.108116613,2.637851614
2016,-1.305118481,-0.851368131,0.598974294,2.637851614
