Year,chum_spawners,chum_recruits_obs,chum_total_stock,prop3,prop4,prop5,prop6
1951,171725,457007.2121,1187739,0.107415165,0.759302338,0.131836043,0.001446454
1952,176250,298716.9211,927000,0.107415165,0.759302338,0.131836043,0.001446454
1953,137625,339247.3539,918122,0.107415165,0.759302338,0.131836043,0.001446454
1954,86375,544674.7469,1096517,0.107415165,0.759302338,0.131836043,0.001446454
1955,110500,606789.3047,397099,0.107415165,0.759302338,0.131836043,0.001446454
1956,32950,400464.0725,282627,0.107415165,0.759302338,0.131836043,0.001446454
1957,84655,267911.4011,308363,0.107415165,0.759302338,0.131836043,0.001446454
1958,89400,261839.3678,559829,0.107415165,0.759302338,0.131836043,0.001446454
1959,152300,334077.8168,651622,0.107415165,0.759302338,0.131836043,0.001446454
1960,144782,341713.5515,390714,0.107415165,0.759302338,0.131836043,0.001446454
1961,103920,225157.1117,253644,0.107415165,0.759302338,0.131836043,0.001446454
1962,130357,381286.8385,249239,0.107415165,0.759302338,0.131836043,0.001446454
1963,192245,443223.018,339884,0.107415165,0.759302338,0.131836043,0.001446454
1964,246741,987701.828,371556,0.107415165,0.759302338,0.131836043,0.001446454
1965,129459,661146.4093,170472,0.107415165,0.759302338,0.131836043,0.001446454
1966,360810,675103.6941,419759,0.107415165,0.759302338,0.131836043,0.001446454
1967,213873,545326.6799,323003,0.107415165,0.759302338,0.131836043,0.001446454
1968,670328,1265058.669,1153257,0.107415165,0.759302338,0.131836043,0.001446454
1969,309220,1384571.685,578493,0.107415165,0.759302338,0.131836043,0.001446454
1970,284250,772488.9679,739355,0.107415165,0.759302338,0.131836043,0.001446454
1971,290125,579652.295,376364,0.107415165,0.759302338,0.131836043,0.001446454
1972,423290,911324.2647,1349820,0.107415165,0.759302338,0.131836043,0.001446454
1973,267080,813139.9154,1506960,0.107415165,0.759302338,0.131836043,0.001446454
1974,350315,1019571.261,717854,0.107415165,0.759302338,0.131836043,0.001446454
1975,191420,482340.9738,486199,0.107415165,0.759302338,0.131836043,0.001446454
1976,340517,790637.3553,1003722,0.107415165,0.759302338,0.131836043,0.001446454
1977,599341,573665.9673,722536,0.107415165,0.759302338,0.131836043,0.001446454
1978,358990,666342.5841,1185223,0.107415165,0.759302338,0.131836043,0.001446454
1979,255634,518168.1644,308732,0.107415165,0.759302338,0.131836043,0.001446454
1980,314011,760537.6631,909353,0.107415165,0.759302338,0.131836043,0.001446454
1981,436996,1671325.98,500271,0.107415165,0.759302338,0.131836043,0.001446454
1982,326439,1462818.38,724011,0.107415165,0.759302338,0.131836043,0.001446454
1983,371770,673139.6438,470101,0.107415165,0.759302338,0.131836043,0.001446454
1984,541478,984259.7624,612803,0.107415165,0.759302338,0.131836043,0.001446454
1985,1383808,1154731.991,1839044,0.107415165,0.759302338,0.131836043,0.001446454
1986,997327,1522545.262,1580868,0.107415165,0.759302338,0.131836043,0.001446454
1987,363671,1482704.387,481076,0.107415165,0.759302338,0.131836043,0.001446454
1988,528467,1535457.553,1035111,0.107415165,0.759302338,0.131836043,0.001446454
1989,739647,1593610.96,1094661,0.107415165,0.759302338,0.131836043,0.001446454
1990,861972,2146403.163,1594885,0.107415165,0.759302338,0.131836043,0.001446454
1991,1106348,1813267.302,1454169,0.107415165,0.759302338,0.131836043,0.001446454
1992,1035859,1301468.234,1555718,0.107415165,0.759302338,0.131836043,0.001446454
1993,985479,1536216.212,1476663,0.107415165,0.759302338,0.131836043,0.001446454
1994,1666079,3619664.877,2295288,0.107415165,0.759302338,0.131836043,0.001446454
1995,1628542,2891781.199,1844441,0.107415165,0.759302338,0.131836043,0.001446454
1996,1186180,1406508.375,1248442.946,0.107415165,0.759302338,0.131836043,0.001446454
1997,1045815,3026044.564,1134098.415,0.107415165,0.759302338,0.131836043,0.001446454
1998,3561043,2543320.017,4069680.197,0.107415165,0.759302338,0.131836043,0.001446454
1999,2987256,3078021.551,3083677.294,0.107415165,0.759302338,0.131836043,0.001446454
2000,699976,2282485.943,821323.8946,0.107415165,0.759302338,0.131836043,0.001446454
2001,3151893,1868662.079,3396137.355,0.107415165,0.759302338,0.131836043,0.001446454
2002,2302250,2826467.168,2701922.528,0.107415165,0.759302338,0.131836043,0.001446454
2003,1494491,1321874.942,2006286.415,0.03,0.91,0.06,0.0015
2004,2716634,1274857.432,3352861.103,0.14,0.57,0.28,0.0013
2005,1331383,826792.9558,1804337.132,0.09,0.74,0.17,0.0056
2006,1970621,653276.4519,2683669.793,0.04,0.93,0.02,0
2007,1057248,1919087.385,1382634.305,0.08,0.81,0.12,0
2008,982016,1341575.499,1231940.016,0.11,0.81,0.07,0
2009,474550,1605367.076,816921.5977,0.04,0.76,0.2,0
2010,608718,1596985.392,661736.705,0.05,0.84,0.1,0.0032
2011,1079068,1137157.667,1420924.621,0.02,0.93,0.05,0
2012,1381072,3027578.79,1702019.91,0.11,0.57,0.32,0
2013,1167839,805154.9323,1601307.958,0.03,0.75,0.21,0.008
2014,1165580,920933.0501,1507866.145,0.04,0.81,0.15,0
2015,950865,390127.0642,1452703.636,0.17,0.61,0.22,0.0019
2016,1975386,720301.2076,2944872.519,0.05,0.88,0.06,0.0021
2017,659667,,1072321.89,0.24,0.59,0.17,0.0021
2018,684875,,789466.793,0.17,0.81,0.02,0.0018
2019,300279,,326141.64,0.16,0.76,0.08,0
2020,597731,,689792.89,0.14,0.85,0.02,0
2021,532609,,560264,0.33,0.49,0.18,0
2022,1134524,,1240224,0.11,0.76,0.13,0.0014
2023,620382,,665441,0.107415165,0.759302338,0.131836043,0.001446454
2024,1872824,,2008246.91,0.107415165,0.759302338,0.131836043,0.001446454
